id,category,name,decimalMap,binaryMap
97,NEW,NEW,,10011001 01000010 00000000 10000001 10000001 00000000 01000010 10011001
98,NEW,NEW,,10011001 01000010 00000000 00000000 00000000 00000000 01000010 10011001
99,NEW,NEW,,10000001 01000010 00000000 00000000 00000000 00000000 01000010 10000001
100,NEW,NEW,,10000001 01000010 00100100 00000000 00000000 00100100 01000010 10000001
101,NEW,NEW,,10000001 01000010 00100100 00010000 00001000 00100100 01000010 10000001
102,NEW,NEW,,10000001 01000010 00100100 00001000 00010000 00100100 01000010 10000001
103,NEW,NEW,,10000001 01000010 00100100 00010000 00001000 00100100 01000010 10000001
104,NEW,NEW,,10000001 01000010 00100100 00001000 00010000 00100100 01000010 10000001
105,NEW,NEW,,10000001 01000010 00100100 00011000 00011000 00100100 01000010 10000001
106,NEW,NEW,,10000001 01000010 00100100 00011000 00011000 00100100 01000010 10000001
107,NEW,NEW,,00000000 01000010 00100100 00011000 00011000 00100100 01000010 00000000
108,NEW,NEW,,00000000 00000000 00100100 00011000 00011000 00100100 00000000 00000000
109,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
110,NEW,NEW,,00000000 00000000 00011000 00111100 00111100 00011000 00000000 00000000
111,NEW,NEW,,00000000 00011000 00011000 01111110 01111110 00011000 00011000 00000000
112,NEW,NEW,,00011000 00011000 00011000 11111111 11111111 00011000 00011000 00011000
113,NEW,NEW,,00100100 00100100 11100111 00000000 00000000 11100111 00100100 00100100
114,NEW,NEW,,00100100 01100110 11100111 00000000 00000000 11100111 01100110 00100100
115,NEW,NEW,,00111100 01111110 11111111 11111111 11111111 11111111 01111110 00111100
116,NEW,NEW,,10111101 01111110 11111111 11111111 11111111 11111111 01111110 10111101
117,NEW,NEW,,10111101 01111110 11111111 11100111 11100111 11111111 01111110 10111101
118,NEW,NEW,,10111101 01111110 11000011 11000011 11000011 11000011 01111110 10111101
119,NEW,NEW,,10111101 00000000 10000001 10000001 10000001 10000001 00000000 10111101
120,NEW,NEW,,10011001 00000000 00000000 10000001 10000001 00000000 00000000 10011001
121,NEW,NEW,,10000001 00000000 00000000 00000000 00000000 00000000 00000000 10000001
122,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
123,NEW,NEW,,00011000 00111100 01111110 11011011 11111111 00100100 01011010 10100101
124,NEW,NEW,,00011000 00111100 01111110 11011011 11111111 00100100 00111100 01011010
125,NEW,NEW,,00011000 00111100 01111110 11011011 11111111 00100100 01011010 10100111
126,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
127,NEW,NEW,,10000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
128,NEW,NEW,,01000000 10000000 00000000 00000000 00000000 00000000 00000000 00000000
129,NEW,NEW,,00100000 01000000 10000000 00000000 00000000 00000000 00000000 00000000
130,NEW,NEW,,00010000 00100000 01000000 10000000 00000000 00000000 00000000 00000000
131,NEW,NEW,,00001000 00010000 00100000 01000000 10000000 00000000 00000000 00000000
132,NEW,NEW,,00000100 00001000 00010000 00100000 01000000 10000000 00000000 00000000
133,NEW,NEW,,00000010 00000100 00001000 00010000 00100000 01000000 10000000 00000000
134,NEW,NEW,,00000001 00000010 00000100 00001000 00010000 00100000 01000000 10000000
135,NEW,NEW,,00000000 00000001 00000010 00000100 00001000 00010000 00100000 01000000
136,NEW,NEW,,00000000 00000000 00000001 00000010 00000100 00001000 00010000 00100000
137,NEW,NEW,,00000000 00000000 00000000 00000001 00000010 00000100 00001000 00010000
138,NEW,NEW,,00000000 00000000 00000000 00000000 00000001 00000010 00000100 00001000
139,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000001 00000010 00000100
140,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000010
141,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001
142,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
143,NEW,NEW,,11111111 10000001 10000001 10000001 10000001 10000001 10000001 11111111
144,NEW,NEW,,11111111 11111111 11000011 11000011 11000011 11000011 11111111 11111111
145,NEW,NEW,,11111111 11111111 11111111 11100111 11100111 11111111 11111111 11111111
146,NEW,NEW,,11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
147,NEW,NEW,,00000000 01111110 01111110 01111110 01111110 01111110 01111110 00000000
148,NEW,NEW,,00000000 00000000 00111100 00111100 00111100 00111100 00000000 00000000
149,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
150,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
151,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
152,NEW,NEW,,00000000 00000000 00111100 00100100 00100100 00111100 00000000 00000000
153,NEW,NEW,,00000000 01111110 01000010 01000010 01000010 01000010 01111110 00000000
154,NEW,NEW,,11111111 10000001 10000001 10000001 10000001 10000001 10000001 11111111
155,NEW,NEW,,11111111 10000001 10111101 10100101 10100101 10111101 10000001 11111111
156,NEW,NEW,,00000000 01111110 01000010 01011010 01011010 01000010 01111110 00000000
157,NEW,NEW,,00000000 01111110 01000010 01000010 01000010 01000010 01111110 00000000
158,NEW,NEW,,11111111 10000001 10000001 10000001 10000001 10000001 10000001 11111111
159,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
160,NEW,NEW,,00000000 00000000 00011100 00010100 00011100 00000100 00011100 00000000
161,NEW,NEW,,00000000 00000000 00011100 00010100 00011100 00010100 00011100 00000000
162,NEW,NEW,,00000000 00000000 00011100 00000100 00000100 00000100 00000100 00000000
163,NEW,NEW,,00000000 00000000 00011100 00010000 00011100 00010100 00011100 00000000
164,NEW,NEW,,00000000 00000000 00011100 00010000 00011100 00000100 00011100 00000000
165,NEW,NEW,,00000000 00000000 00010000 00010100 00011100 00000100 00000100 00000000
166,NEW,NEW,,00000000 00000000 00011100 00000100 00001100 00000100 00011100 00000000
167,NEW,NEW,,00000000 00000000 00011100 00000100 00011100 00010000 00011100 00000000
168,NEW,NEW,,00000000 00000000 00000100 00000100 00000100 00000100 00000100 00000000
169,NEW,NEW,,00000000 00000000 00011100 00010100 00010100 00010100 00011100 00000000
170,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
171,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
172,NEW,NEW,,11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
173,NEW,NEW,,01111110 11111111 11111111 11111111 11111111 11111111 11111111 01111110
